announce_date;number_of_suspected_case_repoted_to_cdc;number_of_suspected_case_repoted_to_cdc;number_of_suspected_case_repoted_to_cdc;number_of_local_positive_cases;number_of_positive_cases_from_panshi_ship;number_of_unknown_positive_cases;dead;recovery;hospital_quarantine_reported;note;reference
2022-01-31 ;5673543;5654537;3671;15065;36;15;851;;;"指揮中心統計，截至目前國內累計5,673,543例新型冠狀病毒肺炎相關通報(含5,654,537例排除)，其中18,790例確診，分別為3,671例境外移入，15,065例本土病例，36例敦睦艦隊、3例航空器感染、1例不明及14例調查中；無新增空號病例，累計127例移除為空號。2020年起累計851例COVID-19死亡病例，其中838例本土，個案居住縣市分布為新北市413例、臺北市322例、基隆市29例、桃園市27例、彰化縣15例、新竹縣13例、臺中市5例、苗栗縣3例、宜蘭縣及花蓮縣各2例，新竹市、南投縣、雲林縣、臺南市、高雄市、屏東縣及臺東縣各1例；另13例為境外移入。
";https://www.cdc.gov.tw/Bulletin/Detail/e8ugss3YuZ7PixzNURmx2A?typeid=9
2022-01-30 ;5659833;5640850;3633;15048;36;15;851;;;指揮中心統計，截至目前國內累計5,659,833例新型冠狀病毒肺炎相關通報(含5,640,850例排除)，其中18,735例確診，分別為3,633例境外移入，15,048例本土病例，36例敦睦艦隊、3例航空器感染、1例不明及14例調查中；無新增空號病例，累計127例移除為空號。2020年起累計851例COVID-19死亡病例，其中838例本土，個案居住縣市分布為新北市413例、臺北市322例、基隆市29例、桃園市27例、彰化縣15例、新竹縣13例、臺中市5例、苗栗縣3例、宜蘭縣及花蓮縣各2例，新竹市、南投縣、雲林縣、臺南市、高雄市、屏東縣及臺東縣各1例；另13例為境外移入。;https://www.cdc.gov.tw/Bulletin/Detail/mO7irv7GSOc63sw63JLU0w?typeid=9
2022-01-29 ;5640594;5621502;3593;15034;36;15;851;;;"指揮中心統計，截至目前國內累計5,640,594例新型冠狀病毒肺炎相關通報(含5,621,502例排除)，其中18,681例確診，分別為3,593例境外移入，15,034例本土病例，36例敦睦艦隊、3例航空器感染、1例不明及14例調查中；新增1例空號病例(案18315境外移入病例，再次採檢為陰性，改判排除)，累計127例移除為空號。2020年起累計851例COVID-19死亡病例，其中838例本土，個案居住縣市分布為新北市413例、臺北市322例、基隆市29例、桃園市27例、彰化縣15例、新竹縣13例、臺中市5例、苗栗縣3例、宜蘭縣及花蓮縣各2例，新竹市、南投縣、雲林縣、臺南市、高雄市、屏東縣及臺東縣各1例；另13例為境外移入。
";https://www.cdc.gov.tw/Bulletin/Detail/ORzh4yZe1qOnSgVMSnIkVw?typeid=9
2022-01-28 ;5613922;5594976;3561;15019;36;15;851;;;"指揮中心統計，截至目前國內累計5,613,922例新型冠狀病毒肺炎相關通報(含5,594,976例排除)，其中18,634例確診，分別為3,561例境外移入，15,019例本土病例，36例敦睦艦隊、3例航空器感染、1例不明及14例調查中；新增3例空號病例(案18314境外移入、案18425本土、案18438本土，再次採檢為陰性，共3案研判排除)，累計126例移除為空號。2020年起累計851例COVID-19死亡病例，其中838例本土，個案居住縣市分布為新北市413例、臺北市322例、基隆市29例、桃園市27例、彰化縣15例、新竹縣13例、臺中市5例、苗栗縣3例、宜蘭縣及花蓮縣各2例，新竹市、南投縣、雲林縣、臺南市、高雄市、屏東縣及臺東縣各1例；另13例為境外移入。
";https://www.cdc.gov.tw/Bulletin/Detail/RBLVTwsQ9Z33zCEe0IMd_Q?typeid=9
2022-01-27 ;5581517;5562679;3518;14994;36;15;851;;;指揮中心統計，截至目前國內累計5,581,517例新型冠狀病毒肺炎相關通報(含5,562,679例排除)，其中18,566例確診，分別為3,518例境外移入，14,994例本土病例，36例敦睦艦隊、3例航空器感染、1例不明及14例調查中；新增1例空號病例(案18418，再次採檢為陰性，改判排除)，累計123例移除為空號。2020年起累計851例COVID-19死亡病例，其中838例本土，個案居住縣市分布為新北市413例、臺北市322例、基隆市29例、桃園市27例、彰化縣15例、新竹縣13例、臺中市5例、苗栗縣3例、宜蘭縣及花蓮縣各2例，新竹市、南投縣、雲林縣、臺南市、高雄市、屏東縣及臺東縣各1例；另13例為境外移入。;https://www.cdc.gov.tw/Bulletin/Detail/AaV2iREpabJ8syXu4450Rw?typeid=9
2022-01-26 ;5542669;5523800;3475;14974;36;15;851;;;指揮中心統計，截至目前國內累計5,542,669例新型冠狀病毒肺炎相關通報(含5,523,800例排除)，其中18,503例確診，分別為3,475例境外移入，14,974例本土病例，36例敦睦艦隊、3例航空器感染、1例不明及14例調查中；無新增空號病例，累計122例移除為空號。2020年起累計851例COVID-19死亡病例，其中838例本土，個案居住縣市分布為新北市413例、臺北市322例、基隆市29例、桃園市27例、彰化縣15例、新竹縣13例、臺中市5例、苗栗縣3例、宜蘭縣及花蓮縣各2例，新竹市、南投縣、雲林縣、臺南市、高雄市、屏東縣及臺東縣各1例；另13例為境外移入。;https://www.cdc.gov.tw/Bulletin/Detail/J3ByKlpyULZLtHehAJUa_g?typeid=9
2022-01-25 ;5501288;5482563;3429;14928;36;15;851;;;指揮中心統計，截至目前國內累計5,501,288例新型冠狀病毒肺炎相關通報(含5,482,563例排除)，其中18,411例確診，分別為3,429例境外移入，14,928例本土病例，36例敦睦艦隊、3例航空器感染、1例不明及14例調查中；新增3例空號病例(案18216-18218，再次採檢為陰性，改判排除)，累計122例移除為空號。2020年起累計851例COVID-19死亡病例，其中838例本土，個案居住縣市分布為新北市413例、臺北市322例、基隆市29例、桃園市27例、彰化縣15例、新竹縣13例、臺中市5例、苗栗縣3例、宜蘭縣及花蓮縣各2例，新竹市、南投縣、雲林縣、臺南市、高雄市、屏東縣及臺東縣各1例；另13例為境外移入。;https://www.cdc.gov.tw/Bulletin/Detail/Juq0widEV7lcQ05-8Db97g?typeid=9
2022-01-24 ;5463663;5444547;3404;14918;36;15;851;;;指揮中心統計，截至目前國內累計5,463,663例新型冠狀病毒肺炎相關通報(含5,444,547例排除)，其中18,376例確診，分別為3,404例境外移入，14,918例本土病例，36例敦睦艦隊、3例航空器感染、1例不明及14例調查中；無新增空號病例，累計119例移除為空號。2020年起累計851例COVID-19死亡病例，其中838例本土，個案居住縣市分布為新北市413例、臺北市322例、基隆市29例、桃園市27例、彰化縣15例、新竹縣13例、臺中市5例、苗栗縣3例、宜蘭縣及花蓮縣各2例，新竹市、南投縣、雲林縣、臺南市、高雄市、屏東縣及臺東縣各1例；另13例為境外移入。;https://www.cdc.gov.tw/Bulletin/Detail/Eg5gZrriSQBA--KxcspeTg?typeid=9
2022-01-23 ;5441110;5422031;3368;14903;36;15;851;;;指揮中心統計，截至目前國內累計5,441,110例新型冠狀病毒肺炎相關通報(含5,422,031例排除)，其中18,325例確診，分別為3,368例境外移入，14,903例本土病例，36例敦睦艦隊、3例航空器感染、1例不明及14例調查中；新增2例空號病例(案17934、案17970，再次採檢為陰性改判排除)，累計119例移除為空號。2020年起累計851例COVID-19死亡病例，其中838例本土，個案居住縣市分布為新北市413例、臺北市322例、基隆市29例、桃園市27例、彰化縣15例、新竹縣13例、臺中市5例、苗栗縣3例、宜蘭縣及花蓮縣各2例，新竹市、南投縣、雲林縣、臺南市、高雄市、屏東縣及臺東縣各1例；另13例為境外移入。;https://www.cdc.gov.tw/Bulletin/Detail/RpwW0PpibHaRFJpatPM1HA?typeid=9
2022-01-22 ;5418957;5400086;3331;14853;36;15;851;;;指揮中心統計，截至目前國內累計5,418,957例新型冠狀病毒肺炎相關通報(含5,400,086例排除)，其中18,238例確診，分別為3,331例境外移入，14,853例本土病例，36例敦睦艦隊、3例航空器感染、1例不明及14例調查中；新增1例空號病例(案18182，再次採檢為陰性，改判排除)，累計117例移除為空號。2020年起累計851例COVID-19死亡病例，其中838例本土，個案居住縣市分布為新北市413例、臺北市322例、基隆市29例、桃園市27例、彰化縣15例、新竹縣13例、臺中市5例、苗栗縣3例、宜蘭縣及花蓮縣各2例，新竹市、南投縣、雲林縣、臺南市、高雄市、屏東縣及臺東縣各1例；另13例為境外移入。;https://www.cdc.gov.tw/Bulletin/Detail/5MtrgzOJApOSjivffWLWRw?typeid=9
2022-01-21 ;5394042;5375246;3283;14772;36;15;851;;;指揮中心統計，截至目前國內累計5,394,042例新型冠狀病毒肺炎相關通報(含5,375,246例排除)，其中18,109例確診，分別為3,283例境外移入，14,772例本土病例，36例敦睦艦隊、3例航空器感染、1例不明及14例調查中；無新增空號病例，累計116例移除為空號。2020年起累計851例COVID-19死亡病例，其中838例本土，個案居住縣市分布為新北市413例、臺北市322例、基隆市29例、桃園市27例、彰化縣15例、新竹縣13例、臺中市5例、苗栗縣3例、宜蘭縣及花蓮縣各2例，新竹市、南投縣、雲林縣、臺南市、高雄市、屏東縣及臺東縣各1例；另13例為境外移入。;https://www.cdc.gov.tw/Bulletin/Detail/cdBM6ZsvZ-djQZ8je9OYkg?typeid=9
2022-01-20 ;5363205;5344301;3238;14749;36;15;851;;;指揮中心統計，截至目前國內累計5,363,205例新型冠狀病毒肺炎相關通報(含5,344,301例排除)，其中18,041例確診，分別為3,238例境外移入，14,749例本土病例，36例敦睦艦隊、3例航空器感染、1例不明及14例調查中；新增1例空號病例(案18119，再次採檢為陰性，改判排除)，累計116例移除為空號。2020年起累計851例COVID-19死亡病例，其中838例本土，個案居住縣市分布為新北市413例、臺北市322例、基隆市29例、桃園市27例、彰化縣15例、新竹縣13例、臺中市5例、苗栗縣3例、宜蘭縣及花蓮縣各2例，新竹市、南投縣、雲林縣、臺南市、高雄市、屏東縣及臺東縣各1例；另13例為境外移入。;https://www.cdc.gov.tw/Bulletin/Detail/X5oSF1tnbyvV8_Nfrl31lg?typeid=9
2022-01-19 ;5336346;5317735;3214;14737;36;15;851;;;指揮中心統計，截至目前國內累計5,336,346例新型冠狀病毒肺炎相關通報(含5,317,735例排除)，其中18,005例確診，分別為3,214例境外移入，14,737例本土病例，36例敦睦艦隊、3例航空器感染、1例不明及14例調查中；無新增空號病例，累計115例移除為空號。另今年1月6日公布之案17298境外移入病例，經病毒定序及疫調後改判為本土病例。 2020年起累計851例COVID-19死亡病例，其中838例本土，個案居住縣市分布為新北市413例、臺北市322例、基隆市29例、桃園市27例、彰化縣15例、新竹縣13例、臺中市5例、苗栗縣3例、宜蘭縣及花蓮縣各2例，新竹市、南投縣、雲林縣、臺南市、高雄市、屏東縣及臺東縣各1例；另13例為境外移入。;https://www.cdc.gov.tw/Bulletin/Detail/uomdnhoUoWvMFa8ce4zYMQ?typeid=9
2022-01-18 ;5306453;5287815;3171;14726;36;15;851;;;指揮中心統計，截至目前國內累計5,306,453例新型冠狀病毒肺炎相關通報(含5,287,815例排除)，其中17,951例確診，分別為3,171例境外移入，14,726例本土病例，36例敦睦艦隊、3例航空器感染、1例不明及14例調查中；無新增空號病例，累計115例移除為空號。2020年起累計851例COVID-19死亡病例，其中838例本土，個案居住縣市分布為新北市413例、臺北市322例、基隆市29例、桃園市27例、彰化縣15例、新竹縣13例、臺中市5例、苗栗縣3例、宜蘭縣及花蓮縣各2例，新竹市、南投縣、雲林縣、臺南市、高雄市、屏東縣及臺東縣各1例；另13例為境外移入。;https://www.cdc.gov.tw/Bulletin/Detail/5XT_6l4aNN_OQfb208cYtg?typeid=9
2022-01-17 ;5278363;5258762;3122;14709;36;15;851;;;指揮中心統計，截至目前國內累計5,278,363例新型冠狀病毒肺炎相關通報(含5,258,762例排除)，其中17,885例確診，分別為3,122例境外移入，14,709例本土病例，36例敦睦艦隊、3例航空器感染、1例不明及14例調查中；無新增空號病例，累計115例移除為空號。2020年起累計851例COVID-19死亡病例，其中838例本土，個案居住縣市分布為新北市413例、臺北市322例、基隆市29例、桃園市27例、彰化縣15例、新竹縣13例、臺中市5例、苗栗縣3例、宜蘭縣及花蓮縣各2例，新竹市、南投縣、雲林縣、臺南市、高雄市、屏東縣及臺東縣各1例；另13例為境外移入。;https://www.cdc.gov.tw/Bulletin/Detail/rkvMm-Hng9jJHKRdCEXvDg?typeid=9
2022-01-16 ;5257161;5236654;3074;14692;36;15;851;;;指揮中心統計，截至目前國內累計5,257,161例新型冠狀病毒肺炎相關通報(含5,236,654例排除)，其中17,820例確診，分別為3,074例境外移入，14,692例本土病例，36例敦睦艦隊、3例航空器感染、1例不明及14例調查中；新增1例空號病例(案17765)，累計115例移除為空號。2020年起累計851例COVID-19死亡病例，其中838例本土，個案居住縣市分布為新北市413例、臺北市322例、基隆市29例、桃園市27例、彰化縣15例、新竹縣13例、臺中市5例、苗栗縣3例、宜蘭縣及花蓮縣各2例，新竹市、南投縣、雲林縣、臺南市、高雄市、屏東縣及臺東縣各1例；另13例為境外移入。;https://www.cdc.gov.tw/Bulletin/Detail/yryfZDzFpd5okqzaJbqiFw?typeid=9
2022-01-15 ;5233163;5213414;3033;14682;36;15;851;;;指揮中心統計，截至目前國內累計5,233,163例新型冠狀病毒肺炎相關通報(含5,213,414例排除)，其中17,769例確診，分別為3,033例境外移入，14,682例本土病例，36例敦睦艦隊、3例航空器感染、1例不明及14例調查中；新增1例空號病例(案17765)，累計115例移除為空號。2020年起累計851例COVID-19死亡病例，其中838例本土，個案居住縣市分布為新北市413例、臺北市322例、基隆市29例、桃園市27例、彰化縣15例、新竹縣13例、臺中市5例、苗栗縣3例、宜蘭縣及花蓮縣各2例，新竹市、南投縣、雲林縣、臺南市、高雄市、屏東縣及臺東縣各1例；另13例為境外移入。;
2022-01-14 ;5210348;5190844;2962;14676;36;15;851;;;指揮中心統計，截至目前國內累計5,210,348例新型冠狀病毒肺炎相關通報(含5,190,844例排除)，其中17,692例確診，分別為2,962例境外移入，14,676例本土病例，36例敦睦艦隊、3例航空器感染、1例不明及14例調查中；無新增空號病例，累計114例移除為空號。2020年起累計851例COVID-19死亡病例，其中838例本土，個案居住縣市分布為新北市413例、臺北市322例、基隆市29例、桃園市27例、彰化縣15例、新竹縣13例、臺中市5例、苗栗縣3例、宜蘭縣及花蓮縣各2例，新竹市、南投縣、雲林縣、臺南市、高雄市、屏東縣及臺東縣各1例；另13例為境外移入。;
2022-01-13 ;5187725;5168285;2905;14665;36;15;851;;;指揮中心統計，截至目前國內累計5,187,725例新型冠狀病毒肺炎相關通報(含5,168,285例排除)，其中17,624例確診，分別為2,905例境外移入，14,665例本土病例，36例敦睦艦隊、3例航空器感染、1例不明及14例調查中；無新增空號病例，累計114例移除為空號。2020年起累計851例COVID-19死亡病例，其中838例本土，個案居住縣市分布為新北市413例、臺北市322例、基隆市29例、桃園市27例、彰化縣15例、新竹縣13例、臺中市5例、苗栗縣3例、宜蘭縣及花蓮縣各2例，新竹市、南投縣、雲林縣、臺南市、高雄市、屏東縣及臺東縣各1例；另13例為境外移入。;
2022-01-12 ;5164612;5145758;2854;14654;36;15;850;;;指揮中心統計，截至目前國內累計5,164,612例新型冠狀病毒肺炎相關通報(含5,145,758例排除)，其中17,559例確診，分別為2,854例境外移入，14,651例本土病例，36例敦睦艦隊、3例航空器感染、1例不明及14例調查中；無新增空號病例，累計114例移除為空號。2020年起累計850例COVID-19死亡病例，其中838例本土，個案居住縣市分布為新北市413例、臺北市322例、基隆市29例、桃園市27例、彰化縣15例、新竹縣13例、臺中市5例、苗栗縣3例、宜蘭縣及花蓮縣各2例，新竹市、南投縣、雲林縣、臺南市、高雄市、屏東縣及臺東縣各1例；另12例為境外移入。;
2022-01-11 ;5137738;5118167;2762;14647;36;15;850;;;指揮中心統計，截至目前國內累計5,137,738例新型冠狀病毒肺炎相關通報(含5,118,167例排除)，其中17,463例確診，分別為2,762例境外移入，14,647例本土病例，36例敦睦艦隊、3例航空器感染、1例不明及14例調查中；無新增空號病例，累計114例移除為空號。2020年起累計850例COVID-19死亡病例，其中838例本土，個案居住縣市分布為新北市413例、臺北市322例、基隆市29例、桃園市27例、彰化縣15例、新竹縣13例、臺中市5例、苗栗縣3例、宜蘭縣及花蓮縣各2例，新竹市、南投縣、雲林縣、臺南市、高雄市、屏東縣及臺東縣各1例；另12例為境外移入。;
2022-01-10 ;5119134;5099767;2704;14635;36;15;850;;;指揮中心統計，截至目前國內累計5,119,134例新型冠狀病毒肺炎相關通報(含5,099,767例排除)，其中17,393例確診，分別為2,704例境外移入，14,635例本土病例，36例敦睦艦隊、3例航空器感染、1例不明及14例調查中；新增1例空號病例(案17462)，累計114例移除為空號。2020年起累計850例COVID-19死亡病例，其中838例本土，個案居住縣市分布為新北市413例、臺北市322例、基隆市29例、桃園市27例、彰化縣15例、新竹縣13例、臺中市5例、苗栗縣3例、宜蘭縣及花蓮縣各2例，新竹市、南投縣、雲林縣、臺南市、高雄市、屏東縣及臺東縣各1例；另12例為境外移入。;
2022-01-09 ;5095065;5075047;2679;14629;36;15;850;;;指揮中心統計，截至目前國內累計5,095,065例新型冠狀病毒肺炎相關通報(含5,075,047例排除)，其中17,362例確診，分別為2,679例境外移入，14,629例本土病例，36例敦睦艦隊、3例航空器感染、1例不明及14例調查中；無新增空號病例，累計113例移除為空號。2020年起累計850例COVID-19死亡病例，其中838例本土，個案居住縣市分布為新北市413例、臺北市322例、基隆市29例、桃園市27例、彰化縣15例、新竹縣13例、臺中市5例、苗栗縣3例、宜蘭縣及花蓮縣各2例，新竹市、南投縣、雲林縣、臺南市、高雄市、屏東縣及臺東縣各1例；另12例為境外移入。;
2022-01-08 ;5074946;5055455;2630;14618;36;15;850;;;指揮中心統計，截至目前國內累計5,074,946例新型冠狀病毒肺炎相關通報(含5,055,445例排除)，其中17,302例確診，分別為2,630例境外移入，14,618例本土病例，36例敦睦艦隊、3例航空器感染、1例不明及14例調查中；無新增空號病例，累計113例移除為空號。2020年起累計850例COVID-19死亡病例，其中838例本土，個案居住縣市分布為新北市413例、臺北市322例、基隆市29例、桃園市27例、彰化縣15例、新竹縣13例、臺中市5例、苗栗縣3例、宜蘭縣及花蓮縣各2例，新竹市、南投縣、雲林縣、臺南市、高雄市、屏東縣及臺東縣各1例；另12例為境外移入。;
2022-01-07 ;5055274;5035769;2588;14616;36;15;850;;;指揮中心統計，截至目前國內累計5,055,274例新型冠狀病毒肺炎相關通報(含5,035,769例排除)，其中17,258例確診，分別為2,588例境外移入，14,616例本土病例，36例敦睦艦隊、3例航空器感染、1例不明及14例調查中；另新增2例空號病例(案17271，案17272與舊案重複，改列空號)，累計113例移除為空號。2020年起累計850例COVID-19死亡病例，其中838例本土，個案居住縣市分布為新北市413例、臺北市322例、基隆市29例、桃園市27例、彰化縣15例、新竹縣13例、臺中市5例、苗栗縣3例、宜蘭縣及花蓮縣各2例，新竹市、南投縣、雲林縣、臺南市、高雄市、屏東縣及臺東縣各1例；另12例為境外移入。;
2022-01-06 ;5036659;5016638;2532;14612;36;15;850;;;指揮中心統計，截至目前國內累計5,036,659例新型冠狀病毒肺炎相關通報(含5,016,638例排除)，其中17,198例確診，分別為2,532例境外移入，14,612例本土病例，36例敦睦艦隊、3例航空器感染、1例不明及14例調查中；無新增空號病例，累計111例移除為空號。2020年起累計850例COVID-19死亡病例，其中838例本土，個案居住縣市分布為新北市413例、臺北市322例、基隆市29例、桃園市27例、彰化縣15例、新竹縣13例、臺中市5例、苗栗縣3例、宜蘭縣及花蓮縣各2例，新竹市、南投縣、雲林縣、臺南市、高雄市、屏東縣及臺東縣各1例；另12例為境外移入。;
2022-01-05 ;5017456;4998328;2493;14608;36;15;850;;;指揮中心統計，截至目前國內累計5,017,456例新型冠狀病毒肺炎相關通報(含4,998,328例排除)，其中17,155例確診，分別為2,493例境外移入，14,608例本土病例，36例敦睦艦隊、3例航空器感染、1例不明及14例調查中；無新增空號病例，累計111例移除為空號。2020年起累計850例COVID-19死亡病例，其中838例本土，個案居住縣市分布為新北市413例、臺北市322例、基隆市29例、桃園市27例、彰化縣15例、新竹縣13例、臺中市5例、苗栗縣3例、宜蘭縣及花蓮縣各2例，新竹市、南投縣、雲林縣、臺南市、高雄市、屏東縣及臺東縣各1例；另12例為境外移入。;
2022-01-04 ;4998949;4979641;2469;14606;36;15;850;;;指揮中心統計，截至目前國內累計4,998,949例新型冠狀病毒肺炎相關通報(含4,979,641例排除)，其中17,129例確診，分別為2,469例境外移入，14,606例本土病例，36例敦睦艦隊、3例航空器感染、1例不明及14例調查中；無新增空號病例，累計111例移除為空號。2020年起累計850例COVID-19死亡病例，其中838例本土，個案居住縣市分布為新北市413例、臺北市322例、基隆市29例、桃園市27例、彰化縣15例、新竹縣13例、臺中市5例、苗栗縣3例、宜蘭縣及花蓮縣各2例，新竹市、南投縣、雲林縣、臺南市、高雄市、屏東縣及臺東縣各1例；另12例為境外移入。;
2022-01-03 ;4982263;4962860;2439;14602;36;15;850;;;指揮中心統計，截至目前國內累計4,982,263例新型冠狀病毒肺炎相關通報(含4,962,860例排除)，其中17,095例確診，分別為2,439例境外移入，14,602例本土病例，36例敦睦艦隊、3例航空器感染、1例不明及14例調查中；無新增空號病例，累計111例移除為空號。2020年起累計850例COVID-19死亡病例，其中838例本土，個案居住縣市分布為新北市413例、臺北市322例、基隆市29例、桃園市27例、彰化縣15例、新竹縣13例、臺中市5例、苗栗縣3例、宜蘭縣及花蓮縣各2例，新竹市、南投縣、雲林縣、臺南市、高雄市、屏東縣及臺東縣各1例；另12例為境外移入。;
2022-01-02 ;4972057;4951828;2416;14600;36;15;850;;;指揮中心統計，截至目前國內累計4,972,057例新型冠狀病毒肺炎相關通報(含4,951,828例排除)，其中17,070例確診，分別為2,416例境外移入，14,600例本土病例，36例敦睦艦隊、3例航空器感染、1例不明及14例調查中；無新增空號病例，累計111例移除為空號。2020年起累計850例COVID-19死亡病例，其中838例本土，個案居住縣市分布為新北市413例、臺北市322例、基隆市29例、桃園市27例、彰化縣15例、新竹縣13例、臺中市5例、苗栗縣3例、宜蘭縣及花蓮縣各2例，新竹市、南投縣、雲林縣、臺南市、高雄市、屏東縣及臺東縣各1例；另12例為境外移入。;
2022-01-01 ;4961497;4942271;2396;14600;36;15;850;;;指揮中心統計，截至目前國內累計4,961,497例新型冠狀病毒肺炎相關通報(含4,942,271例排除)，其中17,050例確診，分別為2,396例境外移入，14,600例本土病例，36例敦睦艦隊、3例航空器感染、1例不明及14例調查中；無新增空號病例，累計111例移除為空號。2020年起累計850例COVID-19死亡病例，其中838例本土，個案居住縣市分布為新北市413例、臺北市322例、基隆市29例、桃園市27例、彰化縣15例、新竹縣13例、臺中市5例、苗栗縣3例、宜蘭縣及花蓮縣各2例，新竹市、南投縣、雲林縣、臺南市、高雄市、屏東縣及臺東縣各1例；另12例為境外移入。;
2021-12-31 ;4946919;4927473;2375;14600;36;15;850;;;指揮中心統計，截至目前國內累計4,946,919例新型冠狀病毒肺炎相關通報(含4,927,473例排除)，其中17,029例確診，分別為2,375例境外移入，14,600例本土病例，36例敦睦艦隊、3例航空器感染、1例不明及14例調查中；無新增空號病例，累計111例移除為空號。2020年起累計850例COVID-19死亡病例，其中838例本土，個案居住縣市分布為新北市413例、臺北市322例、基隆市29例、桃園市27例、彰化縣15例、新竹縣13例、臺中市5例、苗栗縣3例、宜蘭縣及花蓮縣各2例，新竹市、南投縣、雲林縣、臺南市、高雄市、屏東縣及臺東縣各1例；另12例為境外移入。;
2021-12-30 ;4932261;4912670;2334;14600;36;15;850;;;指揮中心統計，截至目前國內累計4,932,261例新型冠狀病毒肺炎相關通報(含4,912,670例排除)，其中16,988例確診，分別為2,334例境外移入，14,600例本土病例，36例敦睦艦隊、3例航空器感染、1例不明及14例調查中；無新增空號病例，累計111例移除為空號。2020年起累計850例COVID-19死亡病例，其中838例本土，個案居住縣市分布為新北市413例、臺北市322例、基隆市29例、桃園市27例、彰化縣15例、新竹縣13例、臺中市5例、苗栗縣3例、宜蘭縣及花蓮縣各2例，新竹市、南投縣、雲林縣、臺南市、高雄市、屏東縣及臺東縣各1例；另12例為境外移入。;
2021-12-29 ;4917481;4898907;2310;14600;36;15;850;;;指揮中心統計，累計4,917,481例新型冠狀病毒肺炎相關通報(含4,898,907例排除)，其中16,964例確診，分別為2,310例境外移入，14,600例本土病例，36例敦睦艦隊、3例航空器感染、1例不明及14例調查中；無新增空號病例，累計111例移除為空號。2020年起累計850例COVID-19死亡病例，其中838例本土，個案居住縣市分布為新北市413例、臺北市322例、基隆市29例、桃園市27例、彰化縣15例、新竹縣13例、臺中市5例、苗栗縣3例、宜蘭縣及花蓮縣各2例，新竹市、南投縣、雲林縣、臺南市、高雄市、屏東縣及臺東縣各1例；另12例為境外移入。;
2021-12-28 ;4901375;4882616;2296;14600;36;15;850;;;指揮中心統計，累計4,901,375例新型冠狀病毒肺炎相關通報(含4,882,616例排除)，其中16,950例確診，分別為2,296例境外移入，14,600例本土病例，36例敦睦艦隊、3例航空器感染、1例不明及14例調查中；無新增空號病例，累計111例移除為空號。2020年起累計850例COVID-19死亡病例，其中838例本土，個案居住縣市分布為新北市413例、臺北市322例、基隆市29例、桃園市27例、彰化縣15例、新竹縣13例、臺中市5例、苗栗縣3例、宜蘭縣及花蓮縣各2例，新竹市、南投縣、雲林縣、臺南市、高雄市、屏東縣及臺東縣各1例；另12例為境外移入。;
2021-12-27 ;4884004;4864380;2277;14600;36;15;850;;;指揮中心統計，截至目前國內累計4,884,004例新型冠狀病毒肺炎相關通報(含4,864,380例排除)，其中16,931例確診，分別為2,277例境外移入，14,600例本土病例，36例敦睦艦隊、3例航空器感染、1例不明及14例調查中；無新增空號病例，累計111例移除為空號。2020年起累計850例COVID-19死亡病例，其中838例本土，個案居住縣市分布為新北市413例、臺北市322例、基隆市29例、桃園市27例、彰化縣15例、新竹縣13例、臺中市5例、苗栗縣3例、宜蘭縣及花蓮縣各2例，新竹市、南投縣、雲林縣、臺南市、高雄市、屏東縣及臺東縣各1例；另12例為境外移入。;
2021-12-26 ;4873578;4853506;2261;14600;36;15;850;;;指揮中心統計，截至目前國內累計4,873,578例新型冠狀病毒肺炎相關通報(含4,853,506例排除)，其中16,915例確診，分別為2,261例境外移入，14,600例本土病例，36例敦睦艦隊、3例航空器感染、1例不明及14例調查中；無新增空號病例，累計111例移除為空號。2020年起累計850例COVID-19死亡病例，其中838例本土，個案居住縣市分布為新北市413例、臺北市322例、基隆市29例、桃園市27例、彰化縣15例、新竹縣13例、臺中市5例、苗栗縣3例、宜蘭縣及花蓮縣各2例，新竹市、南投縣、雲林縣、臺南市、高雄市、屏東縣及臺東縣各1例；另12例為境外移入。;
2021-12-25 ;4860998;4841748;2238;14599;36;15;850;;;指揮中心統計，截至目前國內累計4,860,998例新型冠狀病毒肺炎相關通報(含4,841,748例排除)，其中16,891例確診，分別為2,238例境外移入，14,599例本土病例，36例敦睦艦隊、3例航空器感染、1例不明及14例調查中；無新增空號病例，累計111例移除為空號。2020年起累計850例COVID-19死亡病例，其中838例本土，個案居住縣市分布為新北市413例、臺北市322例、基隆市29例、桃園市27例、彰化縣15例、新竹縣13例、臺中市5例、苗栗縣3例、宜蘭縣及花蓮縣各2例，新竹市、南投縣、雲林縣、臺南市、高雄市、屏東縣及臺東縣各1例；另12例為境外移入。;
2021-12-24 ;4844559;4825692;2220;14599;36;15;850;;;指揮中心統計，截至目前國內累計4,844,559例新型冠狀病毒肺炎相關通報(含4,825,692例排除)，其中16,873例確診，分別為2,220例境外移入，14,599例本土病例，36例敦睦艦隊、3例航空器感染、1例不明及14例調查中；無新增空號病例，累計111例移除為空號。2020年起累計850例COVID-19死亡病例，其中838例本土，個案居住縣市分布為新北市413例、臺北市322例、基隆市29例、桃園市27例、彰化縣15例、新竹縣13例、臺中市5例、苗栗縣3例、宜蘭縣及花蓮縣各2例，新竹市、南投縣、雲林縣、臺南市、高雄市、屏東縣及臺東縣各1例；另12例為境外移入。;https://www.cdc.gov.tw/Bulletin/Detail/U_G8thyYx_NXqs4bt22mLQ?typeid=9
